Chi_tieu,Gia_tri,Don_vi
Số dư đầu năm,1602987,Trieu dong
Mua trong năm,215082,Trieu dong
Thanh lý trong năm,-265,Trieu dong
Biến động khác,5501,Trieu dong
Giảm do bán MBLand,-186,Trieu dong
Chênh lệch tỷ giá,34,Trieu dong
Số dư cuối năm,1823153,Trieu dong
Số dư đầu năm,585160,Trieu dong
Tăng trong năm,122373,Trieu dong
Thanh lý trong năm,-265,Trieu dong
Biến động khác,2845,Trieu dong
Giảm do bán MBLand,-148,Trieu dong
Chênh lệch tỷ giá,26,Trieu dong
Số dư cuối năm,709991,Trieu dong
Tại ngày đầu năm,1017827,Trieu dong
Tại ngày cuối năm,1113162,Trieu dong
