Chi_tieu,Gia_tri,Don_vi
Ngân hàng TMCP Công thương Việt Nam,1229103789698,VND
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam,264811396169,VND
Ngân hàng BNP Paribas – Chi nhánh Hà Nội,436326026864,VND
Ngân hàng TNHH Một thành viên HSBC,562870172288,VND
Ngân hàng TMCP Ngoại thương Việt Nam,305917475964,VND
Renova Renewables Vietnam 1 Pte. Ltd.,98394146028,VND
Ngân hàng TMCP Quản đội,3285784384,VND
Ngân hàng TNHH MTV Shinhan Bank Việt Nam,166966190893,VND
Ngân hàng TNHH MTV Shinhan Bank Việt Nam,12127320000,VND
Ngân hàng Bank of China (Hong Kong) Limited – Chi nhánh TP. Hồ Chí Minh,138893055823,VND
Các đối tượng khác,12340000000,VND
