Chi_tieu,Gia_tri,Don_vi
Tổng Công ty May Nhà Bè - CTCP,50400000000,VND
Tổng Công ty May Đức Giang – CTCP,25287630000,VND
Công ty CP May Hưng Yên,47434460000,VND
Công ty CP May Bình Minh,13230000000,VND
Công ty CP May Hữu Nghị,34766360000,VND
Công ty CP May Đồng Nai,28108080000,VND
Công ty CP Vinatex OJ,10143000000,VND
Công ty CP May Chiến Thắng,6120000000,VND
Công ty CP Vinatex Đà Nẵng,9000000000,VND
Công ty CP May Đáp Cầu,12621000000,VND
Công ty CP May Nam Định,3600000000,VND
Công ty TNHH May mặc Xuất khẩu Tân Châu,3564000000,VND
Công ty CP Tư vấn Xây dựng và Dịch vụ Đầu tư,610000000,VND
Tổng Công ty CP May Việt Tiến,134059200000,VND
Tổng Công ty Việt Thắng - CTCP,98550000000,VND
Tổng Công ty May 10 – CTCP (i),102273980000,VND
Công ty CP Đệt May Viễn thông Sài Gòn Vina (ii),85346535875,VND
Công ty CP Đệt May Liên Phương,95877720000,VND
Công ty CP Đầu tư Vinatex Tân Tạo,29700000000,VND
Công ty CP May 1 Đệt Nam Định (v),2700000000,VND
Công ty CP Đô thị Đệt May Nam Định,31100000000,VND
Công ty CP May V Đệt May Nam Định (iv),1980000000,VND
