Chi_tieu,Gia_tri,Don_vi
TÀI SẢN NGẮN HẠN,22571980785986,VND
Tiền và các khoản tương đương tiền,10963329410857,VND
Các khoản tương đương tiền,10694000000000,VND
Đầu tư tài chính ngắn hạn,1245907811811,VND
Đầu tư nằm giữ đến ngày đáo hạn,1245907811811,VND
Các khoản phải thu ngắn hạn,8489431323493,VND
Phải thu ngắn hạn của khách hàng,7856059942835,VND
Trả trước cho người bán ngắn hạn,259993746013,VND
Phải thu ngắn hạn khác,840806434358,VND
Dự phòng phải thu ngắn hạn khó đòi,-467428799713,VND
Hàng tồn kho,1421935513404,VND
Hàng tồn kho,1421935513404,VND
Tài sản ngắn hạn khác,451376726421,VND
Chi phí trả trước ngắn hạn,95594789340,VND
Thuế giá trị gia tăng được khấu trừ,337680246053,VND
Thuế và các khoản khác phải thu Nhà nước,18101691028,VND
TÀI SẢN DÀI HẠN,45568162173569,VND
Các khoản phải thu dài hạn,315303000,VND
Phải thu dài hạn khác,315303000,VND
Tài sản cố định,16483960425716,VND
Tài sản cố định hữu hình,16454863740665,VND
- Nguyên giá,47309957247511,VND
- Giá trị hao mòn lũy kế,-30855093506846,VND
Tài sản cố định vô hình,29096685051,VND
- Nguyên giá,85227737203,VND
- Giá trị hao mòn lũy kế,-56131052152,VND
Tài sản dở dang dài hạn,19704423069393,VND
Chi phí xây dựng cơ bản dở dang,19704423069393,VND
Đầu tư tài chính dài hạn,5815270223256,VND
Đầu tư vào công ty con,5101578439397,VND
Đầu tư vào công ty liên kết,62887500000,VND
Đầu tư góp vốn vào đơn vị khác,696610757500,VND
Dự phòng đầu tư tài chính dài hạn,-45806473641,VND
Tài sản dài hạn khác,3564193152204,VND
Chi phí trả trước dài hạn,2885679326770,VND
Tài sản thuê thu nhập hoãn lại,76335415657,VND
"Thiết bị, vật tư, phụ tùng thay thế dài hạn",602178409777,VND
TỔNG CỘNG TÀI SẢN (270=100+200),68140142959555,VND
Nợ PHẢI TRẢ,38419048076311,VND
Nợ ngắn hạn,28284447511428,VND
Phải trả người bán ngắn hạn,13255540481809,VND
Người mua trả tiên trước ngắn hạn,85950238684,VND
Thuế và các khoản phải nộp Nhà nước,11523394632,VND
Phải trả người lao động,247844404243,VND
Chi phí phải trả ngắn hạn,372800124347,VND
Phải trả ngắn hạn khác,1440736787986,VND
Vay và nợ thuê tài chính ngắn hạn,12192923664847,VND
Dự phòng phải trả ngắn hạn,553193180684,VND
"Quỹ khen thưởng, phúc lợi",123935234196,VND
Nợ dài hạn,10134600564883,VND
Phải trả dài hạn khác,28155441,VND
Vay và nợ thuê tài chính dài hạn,7513760079014,VND
Dự phòng phải trả dài hạn,2506592715754,VND
Quỹ phát triển khoa học và công nghệ,114219614674,VND
VỐN CHỦ SỞ HỮU,29721094883244,VND
Vốn chủ sở hữu,29721094883244,VND
Vốn góp của chủ sở hữu,23418716000000,VND
- Cổ phiếu phổ thông có quyền biểu quyết,23418716000000,VND
Quỹ đầu tư phát triển,4144286326882,VND
Lợi nhuận sau thuế chưa phân phối,2158092556362,VND
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,950919879971,VND
- Lợi nhuận sau thuế chưa phân phối năm nay,1207172676391,VND
