Chi_tieu,Gia_tri,Don_vi
"Tiền mặt vàng bạc, đá quý",6129169,
Tiền gửi tại NHNN,10683536,
Tiền gửi tại và cho vay các TCTD khác (i),18910168,
Chứng khoán kinh doanh (i),1339157,
Cho vay khách hàng (i),230527220,
Chứng khoán đầu tư (i),53836659,
"Góp vốn, đầu tư dài hạn (i)",161325,
Tài sản cố định,3233388,
Bắt động sản đầu tư,247454,
Tài sản Có khác (i),8897824,
Tổng tài sản,333965900,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,3074100,
Tiền gửi và vay các TCTD khác,20718382,
Tiền gửi của khách hàng,269998503,
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,38198,
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",160093,
Phát hành giấy tờ có giá,8290918,
Các khoản nợ khác,6035148,
Tổng nợ phải trả,308315342,
Mức chênh nhạy cảm với lãi suất - nội bảng,25650558,%
Mức chênh nhạy cảm với lãi suất - ngoại bảng,-9392780,%
Tổng mức chênh nhạy cảm với lãi suất,16257778,%
