Chi_tieu,Gia_tri,Don_vi
01. Thu nhập lãi và các khoản thu nhập tương tự nhận được,51622581,Trieu VND
02. Chỉ phí lãi và các chỉ phí tương tự đã trả,-26632017,Trieu VND
03. Thu nhập từ hoạt động dịch vụ nhận được,1745205,Trieu VND
"04. Chênh lệch số tiền thực thu/thực chi từ hoạt động kinh doanh (ngoại tệ, vàng bạc, chứng khoán)",2859345,Trieu VND
05. Chỉ phí khác,-650253,Trieu VND
"06. Tiền thu các khoản nợ đã được xử lý xoá, bù đắp bằng nguồn rủi ro",1814476,Trieu VND
"07. Tiền chỉ trả cho nhân viên và hoạt động quản lý, công vụ",-11243918,Trieu VND
08. Tiền thuế thu nhập thực nộp trong năm,-1660986,Trieu VND
Lưu chuyển tiền thuần từ hoạt động kinh doanh trước những thay đối về tài sản và vốn lưu động,17854433,Trieu VND
Những thay đối về tài sản hoạt động,-139525898,Trieu VND
"09. (Tăng)/Giảm các khoản tiền, vàng gửi và cho vay các TCTD khác",-2224254,Trieu VND
10. (Tăng) các khoản về kinh doanh chứng khoán,-9726307,Trieu VND
11. (Tăng) các công cụ tài chính phải sinh và các tài sản tài chính khác,-682690,Trieu VND
12. (Tăng) các khoản cho vay khách hàng,-123541758,Trieu VND
13. (Giảm) nguồn dự phòng để bù đắp tổn thất các khoản,-1482318,Trieu VND
14. (Tăng)/Giảm khác về tài sản hoạt động,-1868571,Trieu VND
Những thay đối về công nợ hoạt động,156101473,Trieu VND
15. (Giảm)/Tăng các khoản nợ Chính phủ và NHNN,-8418698,Trieu VND
"16. (Giảm) các khoản tiền gửi, tiền vay các TCTD khác",-14017349,Trieu VND
17. Tăng tiền gửi của khách hàng (bao gồm cả Kho bạc Nhà nước),162100084,Trieu VND
18. Tăng phát hành giấy tờ có giá (ngoại trừ giấy tờ có giá phát hành được tính vào hoạt động tài chính),2988956,Trieu VND
"19. (Giảm)/Tăng vốn tài trợ, uỷ thác đầu tư, cho vay mà TCTD chịu rủi ro",-48161779,Trieu VND
20. (Giảm) các công cụ tài chính phải sinh và các khoản nợ tài chính khác,-117619,Trieu VND
21. Tăng khác về công nợ hoạt động,61730621,Trieu VND
22. Chỉ từ quỹ của tổ chức tín dụng,-2743,Trieu VND
I. Lưu chuyển tiền thuần từ hoạt động kinh doanh,34430008,Trieu VND
