Chi_tieu,Gia_tri,Don_vi
1. Doanh thu bán hàng và cung cấp dịch vụ,59326379871839,VND
2. Các khoản giảm trừ doanh thu,250186696178,VND
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),59076193175661,VND
4. Giá vốn hàng bán và dịch vụ cung cấp,47521232445917,VND
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),11554960729744,VND
6. Doanh thu hoạt động tài chính,1136087785475,VND
7. Chi phí tài chính,494200815972,VND
- Trong đó: Chi phí lãi vay,359758790896,VND
8. Phần lãi trong công ty liên kết,371260141,VND
9. Chi phí bán hàng,2130307143526,VND
10. Chi phí quản lý doanh nghiệp,965382550673,VND
11. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)+24-(25+26)),9101529265189,VND
12. Thu nhập khác,62480382072,VND
13. Chi phí khác,11766165623,VND
14. Lợi nhuận khác (40=31-32),50714216449,VND
15. Tổng lợi nhuận kế toán trước thuế (50=30+40),9152243481638,VND
16. Chi phí thuế thu nhập doanh nghiệp hiện hành,1932844957820,VND
17. Chi phí/(Thu nhập) thuế thu nhập doanh nghiệp hoãn lại,46988793631,VND
18. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),7172409730187,VND
18.1. Lợi nhuận sau thuế của Công ty mẹ,7020153134342,VND
18.2. Lợi nhuận sau thuế của cổ đông không kiểm soát,152256595845,VND
