Chi_tieu,Gia_tri,Don_vi
Lợi nhuận trước thuế,654201763660,%
Lợi nhuận trước thuế từ hoạt động sản xuất kinh doanh thông thường,654201763660,%
Điều chỉnh cho thu nhập chịu thuế,-833520461752,%
Cộng các khoản điều chỉnh tăng,36675835200,%
Các khoản chi phí không được khấu trừ,36675835200,%
Trừ các khoản điều chỉnh giảm,870196296952,%
Thu nhập không chịu thuế,869731200000,%
Lãi chênh lệch tỷ giá do đánh giá lại khoản tiền và nợ phải thu gốc ngoại tệ cuối kỳ,465096952,%
Lỗ tính thuế,-179318698092,%
Thuế suất,20,%
Thuế suất,20,%
