Chi_tieu,Gia_tri,Don_vi
Vay ngắn hạn phải trả các tổ chức và cá nhân khác,646866826138,
Vay ngắn hạn ngân hàng,493514326138,
Vay Ngân hàng TMCP Đầu tư và Phát triển Việt Nam – Chi nhánh Bình Dương (ii),121483960345,
Vay Ngân hàng TMCP Ngoại thương Việt Nam – Chi nhánh Bình Dương (iii),199999552523,
Ngân hàng TMCP Đông Nám Á – Chi nhánh Bình Dương (iv),45746388500,
Ngân hàng TMCP Quốc tế Việt Nam (v),126284424770,
Vay ngắn hạn các cá nhân khác (vi),2000000000,
Trái phiếu thương dài hạn đến hạn trả (xem thuyết minh số V.20b),151352500000,
Vay ngắn hạn các bên liên quan,4500000000,VND
Vay ngắn hạn ngân hàng,493514326138,VND
Vay ngắn hạn các cá nhân,2000000000,VND
Trái phiếu thường dài hạn đến hạn trả,151352500000,VND
