Chi_tieu,Gia_tri,Don_vi
Trích trước chi phí phát triển bất động sản Dự ánThe Terra An Hưng,111532000434,VND
Trích trước chi phí phát triển bất động sản Dự ánKhu đô thị mới Văn Phú,99950641403,VND
Trích trước chi phí phát triển bất động sản Dự ánHùng Sơn - Thanh Hóa,88394571133,VND
Chi phí hỗ trợ lãi suất,53785224892,%
Chi phí lãi vay phải trả,98330120532,VND
Chi phí phát triển bất động sản Dự án GrandeurPalace Giảng Võ,1424097498,VND
Trích trước chi phí miễn phí quản lý cho khách hàng,11418823044,VND
Chi phí trích trước khác,15817817329,VND
TỔNG CỘNG,480653296265,VND
Chi phí lãi vay phải trả,58881535500,VND
Trích trước chi phí miễn phí quản lý cho khách hàng,6765741300,VND
TỔNG CỘNG,65647276800,VND
