Chi_tieu,Gia_tri,Don_vi
Tài sản dài hạn(200 = 210 + 220 + 240 + 250 + 260),5871980408290,VND
Các khoản phải thu dài hạn,964420123321,VND
Trả trước cho người bán dài hạn,164487298427,VND
Phải thu về cho vay dài hạn,799932824894,VND
Tài sản cố định,4071339205066,VND
Tài sản cố định hữu hình,4070197617863,VND
Nguyên giá,12529631270781,VND
Giá trị hao mòn lũy kế,-8459433652918,VND
Tài sản cố định vô hình,1141587203,VND
Nguyên giá,1528838057,VND
Giá trị hao mòn lũy kế,-387250854,VND
Tài sản dở dang dài hạn,720972109699,VND
Xây dựng cơ bản dở dang,720972109699,VND
Đầu tư tài chính dài hạn,69976822858,VND
Đầu tư vào công ty liên kết,27616822858,VND
Đầu tư góp vốn vào đơn vị khác,37360000000,VND
Đầu tư nắm giữ đến ngày đáo hạn,5000000000,VND
Tài sản dài hạn khác,45272147346,VND
Chi phí trả trước dài hạn,43543191679,VND
"Thiết bị, vật tư, phụ tùng thay thế dài hạn",1728955667,VND
TỔNG CỘNG TÀI SẢN(270 = 100 + 200),7674288244603,VND
NỘ PHẢI TRẢ (300 = 310 + 330),2089154637910,VND
Nợ ngắn hạn,270956852145,VND
Phải trả người bán ngắn hạn,36643307240,VND
Người mua trả tiền trước ngắn hạn,1126431388,VND
Thuế và các khoản khác phải nộp Nhà nước,184229200771,VND
Phải trả người lao động,25697004929,VND
Chỉ phí phải trả ngắn hạn,16238511550,VND
Phải trả ngắn hạn khác,432356558,VND
Quỹ khen thưởng và phúc lợi,6590039709,VND
Nợ dài hạn,1818197785765,VND
Phải trả người bán dài hạn,44361088013,VND
Vay dài hạn,1772882117629,VND
Thuế thu nhập hoãn lại phải trả,954580123,VND
VỐN CHỦ SỞ HỮU (400 = 410),5585133606693,VND
Vốn chủ sở hữu,5585133606693,VND
Vốn cổ phần,4224000000000,VND
Vốn khác của chủ sở hữu,74872484114,VND
Chênh lệch tỷ giá hối đoái,-13698103037,VND
Quỹ đầu tư phát triển,44452164359,VND
Lợi nhuận sau thuế chưa phân phối,1205125354288,VND
- Lợi nhuận sau thuế chưa phân phối đến cuối năm trước,552664321663,VND
- Lợi nhuận sau thuế chưa phân phối năm nay,652461032625,VND
Lợi ích cổ đông không kiểm soát,50381706969,VND
TỔNG CỘNG NGUỒN VỐN (440 = 300 + 400),7674288244603,VND
