Chi_tieu,Gia_tri,Don_vi
TÀI SẢN NGĂN HẠN,1229872510447,VND
Tiền và các khoản tương đương tiền,609411234157,VND
Các khoản tương đương tiền,560741934260,VND
Đầu tư tài chính ngắn hạn,252000000000,VND
Đầu tư nắm giữ đến ngày đáo hạn,252000000000,VND
Các khoản phải thu ngắn hạn,245522072322,VND
Phải thu ngắn hạn của khách hàng,109562153409,VND
Trả trước cho người bán ngắn hạn,103336396377,VND
Phải thu ngắn hạn khác,32849459242,VND
Dự phòng phải thu ngắn hạn khó đòi,-228723883,VND
Tài sản thiếu chờ xử lý,2787177,VND
Hàng tồn kho,24721958269,VND
Hàng tồn kho,24721958269,VND
Tài sản ngắn hạn khác,98217245699,VND
Chi phí trả trước ngắn hạn,3810607152,VND
Thuế GTGT được khấu trừ,94389457115,VND
Thuế và các khoản khác phải thu Nhà nước,17181432,VND
TÀI SẢN DÀI HẠN,3130686395290,VND
Các khoản phải thu dài hạn,785499803,VND
Phải thu dài hạn khác,1276341882,VND
Dự phòng phải thu dài hạn khó đòi,-490842079,VND
Tài sản cố định,2877671877869,VND
Tài sản cố định hữu hình,2871235092019,VND
Nguyên giá,3494120676243,VND
Giá trị khấu hao lũy kế,-622885584224,VND
Tài sản cố định vô hình,6436785850,VND
Nguyên giá,7448934975,VND
Giá trị hao mòn lũy kế,-1012149125,VND
Tài sản dở dang dài hạn,215763242101,VND
Chi phí xây dựng cơ bản dở dang,215763242101,VND
Tài sản dài hạn khác,36465775517,VND
Chi phí trả trước dài hạn,22302642267,VND
Tài sản thuế thu nhập hoãn lại,6234469009,VND
Lợi thế thương mại,7928664241,VND
TỔNG TÀI SẢN,4360558905737,VND
NỘ PHẢI TRẢ,1952623594905,VND
Nợ ngắn hạn,528243118007,VND
Phải trả người bán ngắn hạn,368213754992,VND
Người mua trả tiền trước ngắn hạn,1341163081,VND
Thuế và các khoản phải nộp ngân sách Nhà nước,15713948521,VND
Phải trả người lao động,1617106333,VND
Chi phí phải trả ngắn hạn,4327202805,VND
Doanh thu chưa thực hiện ngắn hạn,2727271,VND
Phải trả ngắn hạn khác,9862783621,VND
Vay và nợ thuê tài chính ngắn hạn,106374337883,VND
"Quỹ khen thưởng, phúc lợi",20790093500,VND
Nợ dài hạn,1424380476898,VND
Phải trả người bán dài hạn,96362637,VND
Vay và nợ thuê tài chính dài hạn,1420255279818,VND
Dự phòng phải trả dài hạn,3455589342,VND
Quỹ phát triển khoa học và công nghệ,573245101,VND
VỐN CHỦ SỞ HỮU,2407935310832,VND
Vốn chủ sở hữu,2407935310832,VND
Vốn góp của chủ sở hữu,1941825500000,VND
- Cổ phiếu phổ thông có quyền biểu quyết,1941825500000,VND
Thặng dư vốn cổ phần,28963735153,VND
Quỹ đầu tư phát triển,60968109047,VND
"Lợi nhuận sau thuế (""LNST"") chưa phân phối",145084524459,VND
- LNST chưa phân phối lũy kế của các năm trước,81879674381,VND
- LNST chưa phân phối năm nay,63204850078,VND
Lợi ích cổ đông không kiểm soát,231093442173,VND
TỔNG NGUỒN VỐN,4360558905737,VND
