Chi_tieu,Gia_tri,Don_vi
Tại ngày 1 tháng 1 năm 2021,54739218312039,VND
Mua trong năm,106269355779,VND
Chuyển từ chi phí xây dựng cơ bảnđở dang (Thuyết minh 12),1218012614019,VND
Thanh lý,-10631559393,VND
Tại ngày 31 tháng 12 năm 2021,56069459929388,VND
Tại ngày 1 tháng 1 năm 2021,35404112597753,VND
Khấu hao trong năm,3006903646712,VND
Thanh lý,-10631559393,VND
Tại ngày 31 tháng 12 năm 2021,38381416661076,VND
Tại ngày 1 tháng 1 năm 2021,19335105714286,VND
Tại ngày 31 tháng 12 năm 2021,17688043268312,VND
