Chi_tieu,Gia_tri,Don_vi
Tiền và các khoản tương đương tiền,1566372095001,VND
Phải thu khách hàng và phải thu khác,2478887888031,VND
Đầu tư tài chính,45937767300,VND
Tổng cộng,4091197750332,VND
Các khoản vay,2491631329670,VND
Phải trả người bán và phải trả khác,1084592453964,VND
Chi phí phải trả,15611631826,VND
Tổng cộng,3591835415460,VND
Chênh lệch thanh khoản thuần,499362334872,VND
Tiền và các khoản tương đương tiền,1205582218896,VND
Phải thu khách hàng và phải thu khác,2530762401820,VND
Đầu tư tài chính,63052276252,VND
Tổng cộng,3799396896968,VND
Các khoản vay,2696084532814,VND
Phải trả người bán và phải trả khác,1011987754318,VND
Chi phí phải trả,39960074606,VND
Tổng cộng,3748032361738,VND
Chênh lệch thanh khoản thuần,51364535230,VND
