Chi_tieu,Gia_tri,Don_vi
2014Trình bày lại,2015,VND
Thu nhập từ hoạt động kinh doanh ngoại hối,3033835,VND
- Thu từ kinh doanh ngoại tệ giao ngay,1631684,VND
- Thu từ kinh doanh vàng,622842,VND
- Thu từ các công cụ tài chính phải sinh tiền tệ,779309,VND
Chi phí hoạt động kinh doanh ngoại hối,3014068,VND
- Chi về kinh doanh ngoại tệ giao ngay,851493,VND
- Chi về kinh doanh vàng,617901,VND
- Chi về các công cụ tài chính phải sinh tiền tệ,1544674,VND
Lãi thuần từ hoạt động kinh doanh ngoại hối,19767,VND
