Chi_tieu,Gia_tri,Don_vi
Phải thu hoạt động bảo hiểm gốc,438768633188,VND
Phải thu hoạt động nhận tái bảo hiểm,74240702879,VND
Phải thu hoạt động nhượng tái bảo hiểm,437834878182,VND
Phải thu khác nhượng tái bảo hiểm,11735525602,VND
Phải thu liên quan đến đồng bảo hiểm,298390942918,VND
Phải thu khác hoạt động bảo hiểm,4508985306,VND
Phải thu cổ tức,7891407300,VND
Phải thu lãi tiền gửi ngân hàng,3450806584888,VND
Phải thu lãi trái phiếu,2575888468511,VND
Phải thu liên quan đến tạm ứng từ giá trị hoàn lại,569092743881,VND
Phải thu đầu tư khác,23033344995,VND
Trả trước cho người bán ngắn hạn,32063030043,VND
Phải thu từ hoạt động margin và ứng trước,3544777548703,VND
Phải thu từ cho vay ủy thác,3217453646,VND
Phải thu từ hoạt động kinh doanh chứng khoán,21885853923,VND
Phải thu phí quản lý quỹ,1751750919,VND
"Phải thu từ hoạt động xây lắp, quản lý tòa nhà, và cho thuê văn phòng",29461297648,VND
Tạm ứng khác,24641341342,VND
Phải thu ngắn hạn khác,233169710781,VND
Tài sản thiếu chờ xử lý,170105685,VND
Tổng cộng các khoản phải thu,11783330310340,VND
Dự phòng phải thu ngắn hạn khó đòi,-247913748321,VND
Giá trị thuần của các khoản phải thu ngắn hạn,11535416562019,VND
