Chi_tieu,Gia_tri,Don_vi
- Công Ty CP Xây dựng - Địa ốc Cao Su,466686483879,VND
- Công ty CP gỗ MDF VRG Quảng Trị,12886500,VND
- Công ty CP Thương mại Dịch vụ và Du lịch Cao su,20348437,VND
- Trường Cao Đằng Công ngiep Cao su,300000000,VND
- Công ty Cổ phần Cao su Việt Lào,55645563555,VND
- Công ty TNHH MTV cao su Hà Tĩnh,4639781655,VND
- Công ty TNHH Bóng đá Đồng Tháp,3440000000,VND
- Công ty CP Cao su Lai Châu,13661537908,VND
- Công ty TNHH MTV Cao su Hương Khê Hà Tĩnh,5000000000,VND
- Công ty CP Cao su Chư Prông Stung Treng,15000000000,VND
- Công Ty CP Đầu Tu Xây Dụng cao su,6392000000,VND
- Công ty CP Thủy diện GERUCO Sông Côn,7650000000,VND
- Công ty CP Cao su Tây Ninh,13500000000,VND
- Công ty CP cao su Phước Hòa,63237609000,VND
- Công ty CP gỗ MDF VRG - Dongwha,122500000000,VND
- Công ty CP VRG Khải Hoàri,14801600000,VND
- Công ty CP Cao su Phú Riềng Kratie,4322724475,VND
- Công ty CP Cơ khí Cao su,135416667,VND
- Công ty TNHH MTV cao su Bình Thuận,561812683,VND
- Công ty TNHH MTV cao su Krông Buk,199891107,VND
- Công ty TNHH MTV Cao su Eah Leo,287589315,VND
- Công ty TNHH MTV cao su Chư Pãh,1320885712,VND
- Công ty TNHH MTV cao su Chư Prông,482257577,VND
- Công ty TNHH MTV Cao Su Chư Sê,454558990,VND
- Công ty TNHH MTV Cao Su Mang Yang,1083707177,VND
- Công ty TNHH MTV Cao su KonTum,2105711233,VND
- Công ty TNHH MTV cao su Quảng Nam,486115956,VND
- Công ty TNHH MTV cao su Quảng Ngãi,178103244,VND
- Công ty TNHH MTV cao su Hà Tĩnh,356610013,VND
- Công ty TNHH MTV cao su Thanh Hóa,202156872,VND
