Chi_tieu,Gia_tri,Don_vi
Chi phí hoa hồng môi giới,42912807670,VND
Chi phí bán hàng cho các dự án,11131603579,VND
Chi phí hỗ trợ lãi suất,8470442801,%
Chi phí bảo hiểm,3266885550,VND
"Chi phí truyền thông, quảng cáo",2985039795,VND
Chi phí trả trước ngắn hạn khác,3334562367,VND
TỔNG CỘNG,72101341762,VND
Oakwood Residence Hà Nội (i),17414115371,VND
"Công cụ, dụng cụ xuất dùng",2230661111,VND
Chi phí cải tạo sửa chữa văn phòng,1029831312,VND
Chi phí hoa hồng môi giới,915517748,VND
Chi phí trả trước dài hạn khác,4475236186,VND
TỔNG CỘNG,26065361728,VND
