Chi_tieu,Gia_tri,Don_vi
Chỉ phí lãi và các chi phí tương tự Thu nhập lãi thuần,36023122,Trieu dong
Lãi thuần từ hoạt động dịch vụ,4135568,Trieu dong
Lãi thuần từ hoạt động kinh doanh ngoại hối,1703960,Trieu dong
Lãi thuần từ mua bán chứng khoán kinh doanh,141128,Trieu dong
Lãi thuần từ mua bán chứng khoán đầu tư và đầu tư dài hạn,1315248,Trieu dong
Lãi thuần từ hoạt động khác,2141658,Trieu dong
"Thu nhập từ góp vốn, mua cổ phần",131941,Trieu dong
TỔNG THU NHẬP HOẠT ĐỘNG,45592625,Trieu dong
TỔNG CHI PHÍ HOẠT ĐỘNG,-14815628,Trieu dong
TỔNG LỢI NHUẬN TRƯỚC THUẾ,22729320,Trieu dong
Chi phí thuế thu nhập doanh nghiệp,-4574135,Trieu dong
LỢI NHUẬN SAU THUÊ,18155185,Trieu dong
Lợi ích của cổ đông không kiểm soát,672450,Trieu dong
Lợi nhuận ròng trong năm,17482735,Trieu dong
Lãi cơ bản trên cổ phiếu (VND/cổ phiếu),3856,VND/co phieu
