Chi_tieu,Gia_tri,Don_vi
A. TÀI SẢN NGÁN HẠN,4770260531773,VND
I. Tiền,221396470928,VND
1. Tiền,221396470928,VND
II. Đầu tư tài chính ngắn hạn,3246286886357,VND
1. Đầu tư nằm giữ đến ngày đáo hạn,3246286886357,VND
III. Các khoản phải thu ngắn hạn,1298528373718,VND
1. Phải thu về cho vay ngắn hạn,1148000000000,VND
2. Phải thu ngắn hạn khác,150528373718,VND
IV. Tài sản ngắn hạn khác,4048800770,VND
1. Chi phí trả trước ngắn hạn,5246246,VND
2. Thuế và các khoản khác phải thu Nhà nước,4043554524,VND
B. TÀI SẢN DÀI HẠN,22856674802252,VND
I. Đầu tư tài chính dài hạn,22856674802252,VND
1. Đầu tư vào các công ty con,22541759311707,VND
2. Dự phòng đầu tư tài chính dài hạn,-700241009455,VND
3. Đầu tư nằm giữ đến ngày đáo hạn,1015156500000,VND
TỔNG CỘNG TÀI SẢN,27626935334025,VND
C. NỘ PHẢI TRẢ,948121597140,VND
I. Nợ ngắn hạn,948121597140,VND
1. Thuế và các khoản phải nộp nhà nước,222222,VND
2. Chỉ phí phải trả ngắn hạn,14175951173,VND
3. Phải trả ngắn hạn khác,22195423745,VND
4. Vay ngắn hạn,911750000000,VND
D. VỐN CHỦ SỞ HỮU,26678813736885,VND
I. Vốn chủ sở hữu,26678813736885,VND
1. Vốn cổ phần,14696931770000,VND
- Cổ phiếu phổ thông có quyền biểu quyết,14696931770000,VND
2. Thắng dư vốn cổ phần,-189084925846,VND
3. Cổ phiếu quỹ,-12364140000,VND
4. Lợi nhuận sau thuế chưa phân phối,12183331032731,VND
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,3330427119057,VND
- Lợi nhuận sau thuế chưa phân phối năm nay,8852903913674,VND
TỔNG CỘNG NGUỒN VỐN,27626935334025,VND
