Chi_tieu,Gia_tri,Don_vi
"Ký cược, ký quỹ",6519818363,%
Phải thu về tiền tạm ứng,26232013727,%
Phải thu khác,42770187431,%
- Phải thu về lãi tiền gửi,5970855997,%
- Phải thu theo quyết toán khối lượng được nghiệm thu,6238623420,%
- Phải thu Công ty CP Hợp Thịnh Viglacera\( ^{(7.1)} \),5000000000,%
- Phải thu Công ty CP Đầu tư Cơ khí và Xây dựng Hà Nội,5000000000,%
- Chi phí Quy hoạch tại Thị trấn Chờ - Bắc Ninh,3413731000,%
- Thuế TNDN tạm nộp hoạt động Bất động sản,1158948814,%
- Phải thu về khoản đầu tư góp vốn theo Hợp đồng hợp tác kinh doanh (BCC),860000000,%
- Phải thu về tiền bán hàng và hàng gửi bán,1130739841,%
- Các khoản phải thu khác,13997288359,%
"Ký cược, ký quỹ",823130812,%
Phải thu khác,171801715258,%
- Phải thu Công ty CP Đầu tư Xây dựng và Kinh doanh nước sạch (VIWACO)\( ^{(7.2)} \),1800000000,%
- Tiền đền bù GPMB chờ được trừ vào tiền thuê đất phải nộp\( ^{(7.3)} \),169957709890,%
- Các khoản phải thu khác,44005368,%
c) Phải thu khác là bên liên quan (Xem thông tin chỉ tiết tại Thuyết minh 42),30000000,%
