Chi_tieu,Gia_tri,Don_vi
1. Doanh thu bán hàng và cung cấp dịch vụ,2586824106708,VND
2. Các khoản giảm trừ doanh thu,296086219,VND
3. Doanh thu thuần bán hàng và cung cấp dịch vụ,2586528020489,VND
4. Giá vốn hàng bán,2446162527921,VND
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,140365492568,VND
6. Doanh thu hoạt động tài chính,10816488462,VND
7. Chi phí tài chính,156171114919,VND
Trong đó: Chi phí lãi vay,35723319457,VND
"8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",2444942762,VND
9. Chi phí bán hàng,106230007511,VND
10. Chi phí quản lý doanh nghiệp,1287868017531,VND
11. Lợi nhuận thuần từ hoạt động kinh doanh,-1396642216169,VND
12. Thu nhập khác,17854919706,VND
13. Chi phí khác,14562784489,VND
14. Lợi nhuận khác,3292135217,VND
15. Tổng lợi nhuận kế toán trước thuế,-1393350080952,VND
16. Chi phí thuế thu nhập doanh nghiệp hiện hành,7748163605,VND
17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,87097530176,VND
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,-1488195774733,VND
19. Lợi nhuận sau thuế của Công ty mẹ,-1485088769463,VND
20. Lợi nhuận sau thuế của cổ đông không kiểm soát,-3107005270,VND
21. Lãi cơ bản trên cổ phiếu,-2970,VND/co phieu
