Chi_tieu,Gia_tri,Don_vi
"Tiền mặt, vàng",2630273,Trieu VND
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,5737641,Trieu VND
Tiền gửi và cho vay các tổ chức tín dụng khác,25857597,Trieu VND
Tiền gửi tại các tổ chức tín dụng khác,25857588,Trieu VND
Cho vay các tổ chức tín dụng khác,9,Trieu VND
Các công cụ tài chính phải sinh và các tài sản tài chính khác,207803,Trieu VND
Cho vay khách hàng,112181970,Trieu VND
Cho vay khách hàng,113254792,Trieu VND
Dự phòng rủi ro cho vay khách hàng,-1072822,Trieu VND
Chứng khoán đầu tư,14540461,Trieu VND
Chứng khoán đầu tư sẵn sàng để bán,8888226,Trieu VND
Chứng khoán đầu tư giữ đến ngày đáo hạn,8017640,Trieu VND
Dự phòng rủi ro chứng khoán đầu tư,-2365405,Trieu VND
"Góp vốn, đầu tư dài hạn",300000,Trieu VND
Đầu tư vào công ty con,300000,Trieu VND
Tài sản cố định,3392802,Trieu VND
Tài sản cố định hữu hình,802430,Trieu VND
Nguyên giá,2073727,Trieu VND
Giá trị hao mòn lũy kế,-1271297,Trieu VND
Tài sản cố định vô hình,2590372,Trieu VND
Nguyên giá,2774437,Trieu VND
Giá trị hao mòn lũy kế,-184065,Trieu VND
Tài sản Có khác,2911240,Trieu VND
Các khoản phải thu,1326232,Trieu VND
"Các khoản lãi, phí phải thu",1195201,Trieu VND
Tài sản Có khác,812620,Trieu VND
Các khoản dự phòng rủi ro cho các tài sản Có nội bằng khác,-422813,Trieu VND
TỔNG TÀI SẢN,167759787,Trieu VND
