Chi_tieu,Gia_tri,Don_vi
A.7.12. Nợ khó đòi đã xử lýNợ phải thu khó đòi đã xử lýCông ty Cổ phần Công nghiệp Tàu thủy Shinnec,172000000,VND
1.Tài sản tài chính giao dịch tự do chuyển nhượng,463004470000,VND
Tài sản tài chính giao dịch tự do chuyển nhượng của CTCK - OTC,2674730000,VND
Tài sản tài chính giao dịch cảm có của CTCK - OTC,120000000000,VND
Tài sản tài chính niêm yết/dăng ký giao dịch nhưng chưa lưu ký của CTCK - Tự do chuyển nhượng,84000000000,VND
1.Tài sản tài chính giao dịch tự do chuyển nhượng,30915187615975,VND
2.Tài sản tài chính giao dịch hạn chế chuyển nhượng,111405300000,VND
3.Tài sản tài chính giao dịch cấm cố,1133522100000,VND
"4.Tài sản tài chính phong tỏa, tạm giữ",10715400000,VND
5.Tài sản tài chính chờ thanh toán,296592669000,VND
