Chi_tieu,Gia_tri,Don_vi
A. TÀI SẢN NGÁN HẠN,3746767157447,VND
I. Tiền và các khoản tương đương tiền,135495634558,VND
1. Tiền,44553452041,VND
2. Các khoản tương đương tiền,90942182517,VND
II. Đầu tư tài chính ngắn hạn,103055000,VND
1. Đầu tư nằm giữ đến ngày đáo hạn,103055000,VND
III. Các khoản phải thu ngắn hạn,1714083411877,VND
1. Phải thu ngắn hạn khách hàng,79386733794,VND
2. Trả trước cho người bán ngắn hạn,12459563511,VND
3. Phải thu về cho vay ngắn hạn,1123123456121,VND
4. Phải thu ngắn hạn khác,523112262708,VND
5. Dự phòng phải thu ngắn hạn khó đòi,-23998604257,VND
IV. Hàng tồn kho,1867199130973,VND
1. Hàng tồn kho,1874601836366,VND
2. Dự phòng giảm giá hàng tồn kho,-7402705393,VND
V. Tài sản ngắn hạn khác,29885925039,VND
1. Chi phí trả trước ngắn hạn,3552510769,VND
2. Thuế GTGT được khấu trừ,16942893872,VND
3. Thuế và các khoản khác phải thu Nhà nước,9390520398,VND
B. TÀI SẢN DÀI HẠN,5135125617297,VND
I. Các khoản phải thu dài hạn,656145139536,VND
1. Phải thu dài hạn của khách hàng,11976673775,VND
2. Phải thu dài hạn khác,644168465761,VND
II. Tài sản cố định,552997373240,VND
1. Tài sản cố định hữu hình,548241972729,VND
Nguyên giá,638907731516,VND
Giá trị hao mòn lũy kế,-90665758787,VND
2. Tài sản cố định vô hình,4755400511,VND
Nguyên giá,7866152682,VND
Giá trị hao mòn lũy kế,-3110752171,VND
III. Bất động sản đầu tư,327568132580,VND
1. Nguyên giá,350478849678,VND
2. Giá trị hao mòn lũy kế,-22910717098,VND
IV. Tài sản dở dang dài hạn,443715329792,VND
"1. Chi phí sản xuất, kinh doanh dở dang dài hạn",15232610937,VND
2. Chi phí xây dựng cơ bản dở dang,428482718855,VND
V. Đầu tư tài chính dài hạn,3085758908879,VND
1. Đầu tư vào công ty con,2037271250000,VND
"2. Đầu tư vào công ty liên doanh, liên kết",1056264660272,VND
4. Dự phòng đầu tư tài chính dài hạn,-7777001393,VND
VI. Tài sản dài hạn khác,68940733270,VND
1. Chi phí trả trước dài hạn,58847521773,VND
2. Tài sản thuế thu nhập hoãn lại,10093211497,VND
TỔNG CỘNG TÀI SẢN,8881892774744,VND
C. NỘ PHẢI TRẢ,5095267434863,VND
I. Nợ ngắn hạn,3267254573243,VND
1. Phải trả người bán ngắn hạn,73551017545,VND
2. Người mua trả tiền trước ngắn hạn,964306409653,VND
3. Thuế và các khoản phải nộp Nhà nước,1143477543,VND
4. Phải trả người lao động,8036861322,VND
5. Chi phí phải trả ngắn hạn,79499539683,VND
6. Doanh thu chưa thực hiện ngắn hạn,4329307151,VND
7. Phải trả ngắn hạn khác,109692306278,VND
8. Vay ngắn hạn,1986638188727,VND
"9. Quỹ khen thưởng, phúc lợi",40057465341,VND
II. Nợ dài hạn,1828012861620,VND
1. Chi phí phải trả dài hạn,172214540807,VND
2. Phải trả dài hạn khác,173387084882,VND
3. Vay dài hạn,1464738256446,VND
5. Thuế thu nhập hoãn lại phải trả,16110457488,VND
6. Dự phòng phải trả dài hạn,1562521997,VND
D. VỐN CHỦ SỞ HỮU,3786625339881,VND
I. Vốn chủ sở hữu,3786625339881,VND
1. Vốn cổ phần đã phát hành,2419996170000,VND
- Cổ phiếu phổ thông có quyền biểu quyết,2419996170000,VND
2. Quyền chọn chuyển đổi trái phiếu,72397227865,VND
3. Quỹ đầu tư phát triển,15177859740,VND
4. Quỹ khác thuộc vốn chủ sở hữu,7588929869,VND
5. Lợi nhuận sau thuế chưa phân phối,1271465152407,VND
- Lợi nhuận sau thuế chưa phân phối lũy kế đến cuối năm trước,664359131766,VND
- Lợi nhuận sau thuế chưa phân phối năm nay,607106020641,VND
TỔNG CỘNG NGUỒN VỐN,8881892774744,VND
