Chi_tieu,Gia_tri,Don_vi
1. Chi nộp thuế và các khoản lệ phí,3415,Trieu dong
2. Chi phí cho nhân viên,5130179,Trieu dong
Chi lương và phụ cấp,4628862,Trieu dong
Các khoản chi đóng góp theo lương,337367,Trieu dong
Chi trợ cấp,57534,Trieu dong
Chi khác cho nhân viên,106416,Trieu dong
3. Chi về tài sản,996502,Trieu dong
Trong đó: Chi phí khấu hao tài sản cố định,156675,Trieu dong
4. Chi phí cho hoạt động quản lý công vụ,2713487,Trieu dong
Trong đó: Công tác phí,73511,Trieu dong
Chi về các hoạt động đoàn thể,1028,Trieu dong
"5. Chi nộp phí bảo hiểm, bảo toàn tiền gửi của khách hàng",285163,Trieu dong
"6. Chi phí /(hoàn nhập) dự phòng (không tính chi phí dự phòng rủi ro tín dụng nội và ngoại bảng, chi phí dự phòng giam giá chứng khoán)",456,Trieu dong
