Chi_tieu,Gia_tri,Don_vi
Công ty TNHH Kính nổi Việt Nam (VFG),2982600329,VND
Công ty Cổ phần Viglacera Từ Sơn,175561821,VND
Công ty Cổ phần Viglacera Hạ Long I,3997190060,VND
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,840302531,VND
Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Đường,4337526104,VND
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,315209899,VND
Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Đường,40000000,VND
Công ty Cổ phần Viglacera Từ Sơn,134112000,VND
Công ty Cổ phần Đầu tư và Xuất nhập khẩu Viglacera,25922378037,VND
Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Đường,1740265729,VND
Công ty Cổ phần Vật liệu chịu lửa Viglacera Cầu Đường,5398552,VND
Công ty Cổ phần Viglacera Từ Sơn,67641700,VND
Công ty Cổ phần Viglacera Hạ Long I,586885096,VND
Thu nhập của Ban Giám đốc và HĐQT,5603914640,VND
