Chi_tieu,Gia_tri,Don_vi
Dịch vụ thanh toán,307513,Trieu VND
Thu phí cam kết rút vốn,191221,Trieu VND
Thu phí tất toán trước hạn khoản vay,127638,Trieu VND
Dịch vụ bảo hiểm,121831,Trieu VND
Dịch vụ tư vấn,27859,Trieu VND
Dịch vụ ngân quỹ,1176,Trieu VND
Dịch vụ ủy thác và đại lý,70,Trieu VND
Dịch vụ khác,71945,Trieu VND
Dịch vụ thanh toán,-234326,Trieu VND
Chi phí bưu điện và mạng viễn thông,-38596,Trieu VND
Dịch vụ ủy thác và đại lý,-15655,Trieu VND
Dịch vụ ngân quỹ,-17386,Trieu VND
Chi phí hoa hồng môi giới,-4884,Trieu VND
Dịch vụ tư vấn,-3436,Trieu VND
Dịch vụ khác,-6506,Trieu VND
Lãi thuần từ hoạt động dịch vụ,528464,Trieu VND
