Chi_tieu,Gia_tri,Don_vi
Tiền mặt và vàng,291307,Trieu VND
Tiền gửi tại Ngân hàng Nhà nước,1287045,Trieu VND
Tiền gửi và cho vay các TCTD khác - gộp,3626372,Trieu VND
Cho vay khách hàng - gộp,2431097,Trieu VND
Tài sản Có khác - gộp,290323,Trieu VND
Tổng tài sản,7926144,Trieu VND
Tiền gửi và vay các TCTD khác,4927766,Trieu VND
Tiền gửi của khách hàng,3348116,Trieu VND
Các công cụ tài chính phải sinh và các khoản nợ tài chính khác,2218275,Trieu VND
Các khoản nợ khác,56210,Trieu VND
Tổng nợ phải trả và vốn chủ sở hữu,10550367,Trieu VND
Trạng thái tiền tệ nội bảng,-2624223,Trieu VND
