Chi_tieu,Gia_tri,Don_vi
Phải thu từ chuyển nhượng bất động sản,6467101920,VND
Tiền thu từ chuyển nhượng bất động sản,3000000000,VND
Nhận tiền hợp đồng cung cấp dịch vụ,1800000000,VND
Thành viên quản lý chủ chốt của công ty con,277577799600,VND
Thành viên quản lý chủ chốt của công ty con,15029510365,VND
Thành viên quản lý chủ chốt của công ty con,9911248019,VND
Thành viên quản lý chủ chốt của công ty con,1621218182,VND
Thành viên quản lý chủ chốt của công ty con,355275600000,VND
Thành viên quản lý chủ chốt của công ty con,35000000000,VND
Thành viên quản lý chủ chốt của công ty con,221506849,VND
Thành viên quản lý chủ chốt của công ty con,1640909091,VND
Thành viên quản lý chủ chốt của công ty con,12000000000,VND
Thành viên quản lý chủ chốt của công ty con,2000000000,VND
