Chi_tieu,Gia_tri,Don_vi
Công ty Cổ phần,120429756,Nghin VND
Tập đoàn Masan,1000000000,Nghin VND
Chi phí lãi vay và chi phí đi vay,73109464,Nghin VND
Ngân hàng trong nước,1367341337,Nghin VND
Ngân hàng trong nước,1498587983,Nghin VND
Tiền thu được từ phát hành trái phiếu (i),2000000000,Nghin VND
Phí đã trả liên quan đến trái phiếu,18550000,Nghin VND
Công ty Cổ phần Hàng tiêu dùng Masan,1352168,Nghin VND
Công ty Cổ phần Hàng tiêu dùng Masan,2509043,Nghin VND
Công ty TNHH Tầm nhìn Masan,2050559,Nghin VND
Hủy bỏ thỏa thuận bán các khoản phải thu tiền bồi thường (Thuyết minh 8(a)),256200000,Nghin VND
Đên bù việc hủy bỏ thỏa thuận các khoản phải thu tiền bồi thường(Thuyết minh 8(a)),74936877,Nghin VND
"Lương, thường và các phúc lợi khác (ii)",31123186,Nghin VND
Mua hàng hóa từ một công ty liên quancủa một thành viên (iii),725041695,Nghin VND
