Chi_tieu,Gia_tri,Don_vi
Các khoản phải trả người bán ngắn hạn,2720376878030,VND
Công ty Kho vận và C้าง Cẩm Phả - Vinacomin,1512637525908,VND
Tổng Công ty Đông Bắc,218526960268,VND
Công ty Kho Vận Đá Bạc - Vinacomin,5256786239,VND
Ban Điều hành Dự án Thủy điện Đồng Nai 5 Tổng công ty Sông Đà,378152411411,VND
Nhà thầu Tổng công ty thiết bị nặng Trung Quốc (DA NS),142085190467,VND
Công ty CP Vật tư & Thiết bị Công nghiệp,31442900000,VND
Công ty TNHH thương mại và thiết bị điện máy Tân Dương,15962719858,VND
Phải trả các đối tượng khác,416312383879,VND
Các khoản phải trả người bán dài hạn,399289200586,VND
Nhà thầu SFECO,399289200586,VND
