Chi_tieu,Gia_tri,Don_vi
Số dư đầu năm trước,1050065423723,VND
Lãi/(Lỗ) trong năm,59063698590,VND
Tăng khác,458810972,VND
Tăng quỹ đầu tư phát triển tại Công ty con do thay đổi tỷ lệ sở hữu,19496692,%
Giảm khác,-1666086186,VND
Giảm do mua thêm cổ phần tại Công ty con,-8321000000,VND
Số dư cuối năm trước,1099620343791,VND
Tăng vốn trong năm,320000000000,VND
Lãi/(Lỗ) trong năm,141260936288,VND
Tăng do thanh lý Công ty con của OCH,1402823380,VND
Tăng/giảm do thay đổi tỷ lệ lợi ích tại Công ty con,1747982593,%
Phân phối lợi nhuận tại các công ty,-6776093234,VND
Tăng/ Giảm khác,-157161549,VND
Số dư cuối năm,1557098831269,VND
