Chi_tieu,Gia_tri,Don_vi
Ký quỹ cho các hợp đồng tiếp thị và phân phối dự án bất động sản (*),1871897410067,VND
Tạm hoàn ứng cho chủ đầu tư,1578882475033,VND
"Vốn góp theo các hợp đồng hợp tác kinh doanh (""HĐHTKD"") (**)",88879472100,VND
Cổ tức,24804925264,VND
Ứng trước tiền sử dụng đất nhà ở xã hội dự án Khu dân cư Gold Hill,15000000000,VND
TỔNG CỘNG,3591618809353,VND
Dự phòng phải thu khác,-1940708333,VND
GIÁ TRỊ THUÀN,3589678101020,VND
Phải thu bên liên quan (Thuyết minh số 21),3569506057907,VND
Phải thu bên khác,22112751446,VND
