Chi_tieu,Gia_tri,Don_vi
Đầu tư vào công ty con,514525000000,VND
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,101250000000,VND
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,131325000000,VND
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,171250000000,VND
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,110700000000,VND
Đầu tư vào công ty liên kết,25483920000,VND
Công ty Cổ phần Bao bì Đạm Phú Mỹ,25483920000,VND
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Trung,2452136193751,VND
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Tây Nam Bộ,2600069400533,VND
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Đông Nam Bộ,2673130613391,VND
Công ty Cổ phần Phân bón và Hóa chất Dầu khí Miền Bắc,1422902633794,VND
Công ty Cổ phần Quản lý và Phát triển nhà Dầu khí Miền Nam,187532521921,VND
Công ty Cổ phần Phát triển Đô thị Dầu khí (1),176246743797,VND
Công ty Cổ phần Hóa đầu và Xơ sợi Dầu khí (2),1835314470723,VND
Công ty Cổ phần Bao bì Đạm Phú Mỹ,294832481955,VND
