Chi_tieu,Gia_tri,Don_vi
Đầu tư tài chính dài hạn,3447908583299,VND
Đầu tư vào công ty con,2810936442092,VND
Đầu tư vào công ty liên kết,424748756168,VND
Đầu tư góp vốn vào đơn vị khác,214821770000,VND
Dự phòng đầu tư tài chính dài hạn,-2598384961,VND
Tài sản dài hạn khác,50417905427,VND
Chi phí trả trước dài hạn,50417905427,VND
TỔNG CỘNG TÀI SẢN (270 = 100 + 200),10122536107219,VND
NỘ PHẢI TRẢ (300 = 310 + 330),5853149065508,VND
Nợ ngắn hạn,4265951114684,VND
Phải trả người bán ngắn hạn,1468937606097,VND
Người mua trả tiền trước ngắn hạn,100980626480,VND
Thuế và các khoản khác phải nộp Nhà nước,25083969152,VND
Phải trả người lao động,18561724866,VND
Chi phí phải trả ngắn hạn,381759646450,VND
Doanh thu chưa thực hiện ngắn hạn,351846593,VND
Phải trả ngắn hạn khác,35011482907,VND
Vay ngắn hạn,2133714530914,VND
"Quỹ khen thưởng, phúc lợi",101549681225,VND
Nợ dài hạn,1587197950824,VND
Phải trả dài hạn khác,1130770775,VND
Vay dài hạn,1581697027986,VND
Dự phòng phải trả dài hạn,4370152063,VND
