Chi_tieu,Gia_tri,Don_vi
1. Doanh thu bán hàng và cung cấp dịch vụ,1209742281696,VND
2. Các khoản giảm trừ doanh thu,816704801,VND
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ,1208925576895,VND
4. Giá vốn hàng bán,691377231252,VND
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ,517548345643,VND
6. Doanh thu hoạt động tài chính,61429578482,VND
7. Chi phí tài chính,77944914093,VND
Trong đó: Chi phí lãi vay,77594719707,VND
"8. Phần lãi hoặc lỗ trong công ty liên doanh, liên kết",9360247358,VND
9. Chi phí bán hàng,176827252551,VND
10. Chi phí quản lý doanh nghiệp,194302418821,VND
11. Lợi nhuận thuần từ hoạt động kinh doanh,139263586018,VND
12. Thu nhập khác,1264391354,VND
13. Chi phí khác,15745098675,VND
14. Lợi nhuận khác,-14480707321,VND
15. Tổng lợi nhuận kế toán trước thuế,124782878697,VND
16. Chi phí thuế thu nhập doanh nghiệp hiện hành,42264799336,VND
17. Chi phí thuế thu nhập doanh nghiệp hoãn lại,-153446736,VND
18. Lợi nhuận sau thuế thu nhập doanh nghiệp,82671526097,VND
19. Lợi nhuận sau thuế của Công ty mẹ,74624965938,VND
20. Lợi nhuận sau thuế của cổ đông không kiểm soát,8046560159,VND
21. Lãi cơ bản trên cổ phiếu,249,VND/co phieu
