Chi_tieu,Gia_tri,Don_vi
Số dư đầu năm trước,11313300785095,
Tăng do hợp nhất kinh doanh,113707845286,
Lãi/lỗ trong năm trước,304747090091,
Chi trả cổ tức,-136352285055,
Phân phối các quỹ,-5035489212,
Tăng vốn vào Công ty con từ lợi nhuận chưa phân phối,-4800000000,
Góp vốn từ cổ đông không kiểm soát,332907500000,
Thay đổi tỷ lệ sở hữu tại công ty con,-340049344000,%
Phân chia lợi nhuận sau thuế (*),-37825839198,
Tăng/Giảm khác,10266199290,
Số dư cuối năm trước/đầu năm nay,11550866462297,
Tăng vốn trong năm (**),1757736160000,
Tăng/Giảm do hợp nhất kinh doanh,4164967487106,
Tăng vốn điều lệ tại Công ty con,3017000000,
Lãi/lỗ trong năm nay,630263489956,
Chi trả cổ tức,-84358314193,
Phân phối các quỹ,-2000113000,
Thay đổi tỷ lệ sở hữu tại công ty con,-2862142033,%
Phân chia lợi nhuận sau thuế (*),-62905214428,
Tăng/Giảm khác,-12410987531,
Số dư cuối năm nay,17942313828174,
