Chi_tieu,Gia_tri,Don_vi
1. Doanh thu bán hàng và cung cấp dịch vụ,20105701046398,VND
2. Các khoản giảm trừ doanh thu,104358523579,VND
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10=01-02),20001342522819,VND
4. Giá vốn hàng bán và cung cấp dịch vụ,8169976063198,VND
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ (20=10-11),11831366459621,VND
6. Doanh thu hoạt động tài chính,2422139706933,VND
7. Chi phí tài chính - Trong đó: Chi phí lãi vay,103464726298,VND
7. Chi phí tài chính - Trong đó: Chi phí lãi vay,66912656317,VND
8. Chi phí bán hàng,337549710395,VND
9. Chi phí quản lý doanh nghiệp,3418084711330,VND
10. Lợi nhuận thuần từ hoạt động kinh doanh (30=20+(21-22)-(25+26)),10394407018531,VND
11. Thu nhập khác,25355264063,VND
12. Chi phí khác,3360267987,VND
13. Lợi nhuận khác (40=31-32),21994996076,VND
14. Tổng lợi nhuận kế toán trước thuế (50=30+40),10416402014607,VND
15. Chi phí thuế thu nhập doanh nghiệp hiện hành,2284806160005,VND
16. Thu nhập thuế thu nhập doanh nghiệp hoãn lại,-268546547920,VND
17. Lợi nhuận sau thuế thu nhập doanh nghiệp (60=50-51-52),8400142402522,VND
"Trong đó:Lợi nhuận của Tổng Công tyLợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao cho Tổng Công ty quản lý, khai thác",7162723264439,VND
"Trong đó:Lợi nhuận của Tổng Công tyLợi nhuận từ hoạt động khai thác tài sản KCHTHK được Nhà nước giao cho Tổng Công ty quản lý, khai thác",1237419138083,VND
