Chi_tieu,Gia_tri,Don_vi
"Nông nghiệp, lâm nghiệp vàthủy sản",3678961,Trieu dong
Khai khoáng,1327520,Trieu dong
"Công nghiệp chế biến, chế tạo",21391907,Trieu dong
"Sản xuất và phân phối điện, khíđốt, nước nóng, hơi nước và điềuhoà không khí",2302444,Trieu dong
"Cung cấp nước; hoạt động quảnlý và xử lý rác thải, nước thải",618115,Trieu dong
Xây dựng,24118023,Trieu dong
"Bán buôn và bán lẻ; sửa chữa ôtô, mô tô, xe máy và xe có độngcor khác",44228974,Trieu dong
Vận tải kho bãi,11131595,Trieu dong
Dịch vụ lưu trú và ăn uống,9999309,Trieu dong
Thông tin và truyền thông,310635,Trieu dong
"Hoạt động tài chính, ngân hàng vàbảo hiểm",7211735,Trieu dong
Hoạt động kinh doanh bất độngsản,67593114,Trieu dong
"Hoạt động chuyên môn, khoa họcvà công nghệ",2533769,Trieu dong
Hoạt động hành chính và dịch vụhỗ trợ,1392211,Trieu dong
"Hoạt động của Đăng Cộng sản, tổchức chính trị - xã hội, quản lý Nhànước, an ninh quốc phòng; bảoodầm xã hội bắt buộc",4411,Trieu dong
Giáo dục và đào tạo,214772,Trieu dong
Y tế và hoạt động trợ giúp xã hội,458645,Trieu dong
"Nghệ thuật, vui chơi và giải trí",1820380,Trieu dong
Hoạt động dịch vụ khác,1174612,Trieu dong
"Hoạt động làm thuê các công việctrong hộ gia đình, sản xuất sảnphẩm vật chất và dịch vụ tự tièudùng của hộ gia đình",153904425,Trieu dong
"Cho vay cá nhân để mua nhà ở,nhận quyền sử dụng đất để xâynhà ở",82922490,Trieu dong
