Chi_tieu,Gia_tri,Don_vi
A - TÀI SẢN NGẮN HẠN,4808121360239,VND
Tiền và các khoản tương đương tiền,146702663329,VND
Các khoản tương đương tiền,82824822289,VND
Đầu tư tài chính ngắn hạn,5906764384,VND
Đầu tư nằm giữ đến ngày đáo hạn,5906764384,VND
Các khoản phải thu ngắn hạn,607116708732,VND
Phải thu ngắn hạn của khách hàng,464423774338,VND
Trả trước cho người bán ngắn hạn,86537712151,VND
Phải thu ngắn hạn khác,55898564456,VND
Tài sản thiếu chờ xử lý,256657787,VND
Hàng tồn kho,4026204952728,VND
Hàng tồn kho,4026204952728,VND
Tài sản ngắn hạn khác,22190271066,VND
Chi phí trả trước ngắn hạn,2852349147,VND
Thuế giá trị gia tăng được khấu trừ,19337921919,VND
TÀI SẢN DÀI HẠN,2000532945027,VND
Các khoản phải thu dài hạn,707678363928,VND
Phải thu dài hạn của khách hàng,233466216653,VND
Phải thu dài hạn khác,474212147275,VND
Tài sản cố định,527091506718,VND
Tài sản cố định hữu hình,516787470852,VND
Nguyên giá,1014197507821,VND
Giá trị hao món lũy kế,-497410036969,VND
Tài sản cố định vô hình,10304035866,VND
Nguyên giá,17847982679,VND
Giá trị hao món lũy kế,-7543946813,VND
Bất động sản đầu tư,378556941833,VND
Nguyên giá,417860288970,VND
Giá trị hao món lũy kế,-39303347137,VND
Tài sản dở dang dài hạn,381768943583,VND
"Chỉ phí sản xuất, kinh doanh dở dang dài hạn",352333122298,VND
Chỉ phí xây dựng cơ bản dở dang,29435821285,VND
Tài sản dài hạn khác,5437188965,VND
Chỉ phí trả trước dài hạn,5437188965,VND
TỔNG CỘNG TÀI SẢN,6808654305266,VND
NỘ PHẢI TRẢ,3464857797559,VND
Nợ ngắn hạn,1939958357223,VND
Phải trả người bán ngắn hạn,815836758808,VND
Người mua trả tiền trước ngắn hạn,18373665055,VND
Thuế và các khoản phải nộp Nhà nước,22970819362,VND
Phải trả người lao động,6185515974,VND
Chi phí phải trả ngắn hạn,414002473589,VND
Phải trả ngắn hạn khác,107702125712,VND
Vay và nợ thuê tài chính ngắn hạn,521590559614,VND
"Quỹ khen thưởng, phúc lợi",33296439109,VND
Nợ dài hạn,1524899440336,VND
Phải trả người bán dài hạn,186151594000,VND
Doanh thu chưa thực hiện dài hạn,710956678414,VND
Phải trả dài hạn khác,26213667922,VND
Vay và nợ thuê tài chính dài hạn,601577500000,VND
D - VỐN CHỦ SỞ HỮU,3343796507707,VND
Vốn chủ sở hữu,3343796507707,VND
Vốn góp của chủ sở hữu,2170973230000,VND
Cổ phiếu phổ thông có quyền biểu quyết,2170973230000,VND
Thặng dư vốn cổ phần,211326226000,VND
Vốn khác của chủ sở hữu,10801285907,VND
Quỹ đầu tư phát triển,272637198098,VND
Lợi nhuận sau thuế chưa phân phối,678058567702,VND
Lợi nhuận sau thuế chưa phân phối lũy kể đến cuối kỳ trước,59199227028,VND
Lợi nhuận sau thuế chưa phân phối kỳ này,618859340674,VND
TỔNG CỘNG NGUỒN VỐN,6808654305266,VND
