Chi_tieu,Gia_tri,Don_vi
a. Ngắn hạn,22309450851275,%
Hợp tác đầu tư và phát triển dự án (1),6517459104600,%
"Đặt cọc mua cổ phần, nhận chuyển nhượng vốn góp (2)",4198475417804,%
"Phải thu lãi tiền gửi, cho vay và lãi hợp tác đầu tư",2084492999559,%
Đặt cọc nhận chuyển nhượng bất động sản và dự án (3),2837928079141,%
Phải thu đo hoán đổi sản phẩm bất động sản (4),1148733241334,%
Thuế GTGT tạm nộp,1053540648472,%
Tạm ứng lãi hợp tác đầu tư,1170000000000,%
Tạm ứng cho các dự án,386609555757,%
Phải thu khác,2912211804608,%
