Chi_tieu,Gia_tri,Don_vi
Ngân hàng TMCP Ngoại thương Việt Nam,830000000000,VND
Ngân hàng TMCP Quốc tế Việt Nam,797000000000,VND
Ngân hàng TMCP Xăng dầu Petrolimex,600000000000,VND
Ngân hàng TMCP Kỹ thương Việt Nam,490000000000,VND
Ngân hàng TMCP Phát triển Thành phố Hồ Chí Minh,484638700000,VND
Ngân hàng TMCP Bảo Việt,450000000000,VND
Ngân hàng TMCP Tiến Phong - Chi nhánh Hà Nội,400000000000,VND
Ngân hàng Công Nghiệp Hàn Quốc,350000000000,VND
Ngân hàng TNHH Indovina,300000000000,VND
Ngân Hàng Thương Mại Cổ Phần Việt Nam Thịnh Vương,293000000000,VND
Ngân hàng SinoPac,241900000000,VND
Ngân hàng TMCP Đầu tư và Phát triển Việt Nam - Chi nhánh Hà Thành,230000000000,VND
Ngân hàng Xuất nhập khẩu Việt Nam,207607000000,VND
Ngân Hàng Ngoại Hối Hàn Quốc - Chi nhánh Hà Nội,200000000000,VND
Ngân hàng TMCP Ả Châu,194000000000,VND
Ngân hàng TMCP Hàng Hải Việt Nam,193000000000,VND
Ngân hàng TM TNHH MTV Đại Dương,150000000000,VND
Công ty Tài chính Cổ phần Tín Việt,150000000000,VND
Ngân hàng Daegu - Chi nhánh Thành phố Hồ Chí Minh,120000000000,VND
Ngân hàng TMCP Công thương Việt Nam,120000000000,VND
Ngân hàng Công thương Trung Quốc,100000000000,VND
Vay ngắn hạn các đối tượng khác (**),2697362846852,VND
