Chi_tieu,Gia_tri,Don_vi
Đầu tư vào các công ty liên kết và cơ sở kinh doanh đồng kiểm soát (i),1946818076777,VND
Đầu tư góp vốn vào các đơn vị khác (ii),323599040794,VND
Công ty Cổ phần Kinh doanh Lương thực - Thực phẩm Trường Sa,4877957381,VND
Công ty Cổ phần Tư vấn Đầu tư - Thiết kế và Chuyển giao Công nghệ Thành Nam,329653546,VND
Công ty Cổ phần Bia Sài Gòn - Phú Thọ,76988553528,VND
Công ty Cổ phần Cơ khí và Xây lắp Công nghiệp,6634611156,VND
Công ty Cổ phần Bia - Nước Giải khát Sài Gòn - Tây Đô,105166392165,VND
Công ty TNHH Trung Tâm Mê Linh,138972042458,VND
Công ty Liên doanh TNHH Crown Sài Gòn,421373260968,VND
Công ty TNHH Thủy tinh Malaya Việt Nam,289884838556,VND
Công ty TNHH Bao bì San Miguel Yamamura Phú Thọ,62363920103,VND
Công ty TNHH Sản xuất Rượu và Cồn Việt Nam,26502914250,VND
Công ty Cổ phần Tập đoàn Bia Sài Gòn Bình Tây,497424046356,VND
Công ty Cổ phần Bia Sài Gòn - Miến Trung,159912655618,VND
Công ty TNHH Đầu tư Thương mại Tân Thành,70829555721,VND
Công ty Cổ phần Bia Sài Gòn - Bạc Liêu,37736550074,VND
Công ty Cổ phần Bia Sài Gòn - Vĩnh Long,54828489105,VND
Công ty Cổ phần Bia Sài Gòn - Kiên Giang,23576877118,VND
Công ty Cổ phần Bia Sài Gòn - Khánh Hòa,45329335287,VND
Công ty Cổ phần Bia Sài Gòn - Bến Tre,26296850739,VND
