Chi_tieu,Gia_tri,Don_vi
Lợi nhuận trước thuế,13386550055,VND
- Khấu hao TSCĐ và BĐSĐT,545689278,VND
"- Lãi, lỗ từ hoạt động đầu tư",-25272974494,VND
- Chi phí lãi vay,546202719,VND
Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,-10794532442,VND
"- Tăng, giảm các khoản phải thu",31515478056,VND
"- Tăng, giảm các khoản phải trả (Không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",-39564624745,VND
"- Tăng, giảm chi phí trả trước",407408316,VND
- Tiền lãi vay đã trả,-546202719,VND
- Thuế thu nhập doanh nghiệp đã nộp,-6083261525,VND
Lưu chuyển tiền thuần từ hoạt động kinh doanh,-25065735059,VND
"Tiền chỉ để mua sắm, xây dựng TSCĐ và các TSDH khác",-86816200,VND
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",1385474494,VND
Lưu chuyển tiền thuần từ hoạt động đầu tư,1298658294,VND
Tiền thu từ đi vay,18200000000,VND
Lưu chuyển tiền thuần từ hoạt động tài chính,18200000000,VND
Lưu chuyển tiền thuần trong năm,-5567076765,VND
Tiền và tương đương tiền đầu năm,24858192738,VND
Tiền và tương đương tiền cuối năm,19291115973,VND
