Chi_tieu,Gia_tri,Don_vi
Lợi nhuận trước thuế,871739467430,VND
- Khấu hao TSCĐ và BĐSĐT,213115015078,VND
- Các khoản dự phòng,16280029045,VND
- Lãi/lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,3380399985,VND
"- Lãi, lỗ từ hoạt động đầu tư",-105744109097,VND
- Chi phí lãi vay,253532957320,VND
3. Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,1252303759761,VND
"- Tăng, giảm các khoản phải thu",692681630665,VND
"- Tăng, giảm hàng tồn kho",-583807617160,VND
"- Tăng, giảm các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",104281744277,VND
"- Tăng, giảm chi phí trả trước",-311735275344,VND
- Tiền lãi vay đã trả,-342121216167,VND
- Thuế thu nhập doanh nghiệp đã nộp,-48841640042,VND
Lưu chuyển tiền thuần từ hoạt động kinh doanh,762761385990,VND
"- Tiền chỉ để mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-2945067188394,VND
"- Tiền thu từ thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",8883124264,VND
"- Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",-1338063246447,VND
"- Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",1717027636414,VND
- Tiền chi đầu tư góp vốn vào đơn vị khác,-402500000000,VND
"- Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",165519082781,VND
Lưu chuyển tiền thuần từ hoạt động đầu tư,-2794200591382,VND
