Chi_tieu,Gia_tri,Don_vi
Phải thu về bán hàng và cung cấp dịch vụ,237669545,Nghin VND
Phải thu từ dịch vụ xây dựng,104705886,Nghin VND
Công ty TNHH MTV Xây lắp Điện,81912929,Nghin VND
Khách hàng khác,22792957,Nghin VND
Phải thu về thanh lý tài sản và bất động sản đầu tư,6917973,Nghin VND
Phải thu tiền bán căn hộ,9550873,Nghin VND
Dự phòng phải thu ngắn hạn khó đòi,-6256445,Nghin VND
TỔNG CỘNG,352587832,Nghin VND
Phải thu các bên liên quan (TM số 28),227116109,Nghin VND
Phải thu các bên khác,131728168,Nghin VND
