Chi_tieu,Gia_tri,Don_vi
NỘ PHẢI TRẢ (300 = 310 + 330),4236008315564,VND
Nợ ngắn hạn,3533300159045,VND
Phải trả người bán ngắn hạn,99327313767,VND
Người mua trả tiền trước ngắn hạn,2328232673572,VND
Thuế và các khoản phải nộp Nhà nước,58620442495,VND
Phải trả người lao động,6922214197,VND
Chi phí phải trả ngắn hạn,267424980388,VND
Doanh thu chưa thực hiện ngắn hạn,38847192585,VND
Phải trả ngắn hạn khác,90463382277,VND
Vay và nợ thuê tài chính ngắn hạn,633904979879,VND
"Quỹ khen thưởng, phúc lợi",9556979885,VND
Nợ dài hạn,702708156519,VND
Phải trả dài hạn khác,57889165960,VND
Vay và nợ thuê tài chính dài hạn,644818990559,VND
VỐN CHỦ SỞ HỮU (400 = 410),3262393800544,VND
Vốn chủ sở hữu,3262393800544,VND
Vốn cổ phần,2170691340000,VND
Thặng dư vốn cổ phần,441956044101,VND
Cổ phiếu quỹ,-11890000,VND
Quỹ đầu tư và phát triển,98641982590,VND
Quỹ khác thuộc vốn chủ sở hữu,20411145621,VND
Lợi nhuận sau thuế chưa phân phối,412543131826,VND
- Lợi nhuận sau thuế chưa phân phốiđến cuối năm trước,239028254292,VND
- Lợi nhuận sau thuế chưa phân phốinăm nay,173514877534,VND
Lợi ích cổ đông không kiểm soát,118162046406,VND
TỔNG NGUỒN VỐN (440 = 300 + 400),7498402116108,VND
