Chi_tieu,Gia_tri,Don_vi
Lãi phải trả cho tiền gửi,314047,Trieu VND
Lãi phải trả cho tiền gửi tiết kiệm,610128,Trieu VND
Lãi phải trả cho các giấy tờ có giá,238553,Trieu VND
Lãi phải trả cho tiền vay,86837,Trieu VND
Lãi phải trả cho các công cụ tài chính phải sinh,73743,Trieu VND
Thuế phải nộp cho ngân sách Nhà nước (Thuyết minh 39),170975,Trieu VND
Cổ tức phải trả,4236,Trieu VND
Phải trả cán bộ công nhân viên,141259,Trieu VND
"Quỹ khen thưởng, phúc lợi và quỹ thưởng Ban Điều hành",42892,Trieu VND
Các khoản chờ thanh toán,1653216,Trieu VND
Doanh thu chờ phân bổ (*),358440,Trieu VND
Cổ tức nhận hộ,76944,Trieu VND
Các khoản phải trả khác,692026,Trieu VND
