Chi_tieu,Gia_tri,Don_vi
Bán hàng hóa và thành phẩm,10277637796063,VND
Mua hàng hóa và thành phẩm,11771372054729,VND
Điều chuyển/bán tài sản cố định,205664635,VND
Trả lại hàng mua,297325320,VND
Lợi nhuận được chia,8123622505,VND
Chi hộ,130869456620,VND
Bán khác,2548006364,VND
Mua khác,144292898,VND
Bán hàng hóa và thành phẩm,4564914020422,VND
Mua hàng hóa và thành phẩm,3196114481029,VND
Bán tài sản cố định,4771478579,VND
Mua tài sản cố định,1389200000,VND
Doanh thu từ cho thuê tài sản,174500000,VND
Chi phí thuê,258946015,VND
Hàng bán bị trả lại,1562510453,VND
Lợi nhuận được chia,105647612793,VND
Trả lại hàng mua/hàng mua được giảm giá,607336952,VND
Mua hàng hóa và thành phẩm,33406182,VND
Mua tài sản cố định,2657188816,VND
Doanh thu từ cho thuê tài sản,3614419336,VND
Chi phí vận chuyển,17253777856,VND
Chi phí thuê,176000000,VND
Lợi nhuận được chia,203168212,VND
