Chi_tieu,Gia_tri,Don_vi
Thu nhập lãi từ cho vay công ty con,57021,Trieu VND
Thu nhập lãi từ cho vay các bên liên quan khác (i),20086,Trieu VND
Chi phí lãi trả cho tiền gửi của các công ty con,78602,Trieu VND
Chi phí lãi trả cho tiền gửi của các bên liên quan khác (i),62887,Trieu VND
Thu phí từ các công ty con,84,Trieu VND
Thu khác từ công ty con,1639,Trieu VND
Phí trả cho các công ty con,924,Trieu VND
Thu nhập từ lợi nhuận được chia từ các công ty con,612,Trieu VND
Thu nhập cổ tức từ các bên liên quan khác (i),49852,Trieu VND
Góp vốn vào các công ty con,1000000,Trieu VND
Thu nhập của Ban Tổng Giám đốc,99941,Trieu VND
Thù lao trả cho Hội đồng Quản trị,34617,Trieu VND
Thù lao trả cho Ban Kiểm soát,9990,Trieu VND
