Chi_tieu,Gia_tri,Don_vi
Tổng lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản: Khẩu hao và hao mòn,2516019318315,VND
Tổng lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản: Khẩu hao và hao mòn,69449408603,VND
Dự phòng (Lãi) lỗ từ hoạt động đầu tư,529294891037,VND
Chi phí đi vay,529294891037,VND
Lưu chuyển tiền thuần tử (sử dụng vào) hoạt động kinh doanh,1224963030769,VND
Tiền chi đề mua sắm tài sản cố định,-38035398137,VND
Tiền thu do thanh lý tài sản cố định,3096976654,VND
"Tiền chi cho vay, gửi tiết kiệm",-2758927272116,VND
Tiền thu hồi cho vay và tất toán tiền gửi tiết kiệm,2559124597209,VND
Tiền chi đầu tư góp vốn vào đơn vị khác,-2366721135422,VND
Tiền thu hồi đầu tư góp vốn vào đơn vị khác,2488673650791,VND
"Tiền thu lãi cho vay, tiền gửi",122688144375,VND
Lưu chuyển tiền thuần tử (sử dụng vào) hoạt động đầu tư,9899563354,VND
Nhận vốn góp từ cổ đông không kiểm soát,1482270245377,VND
Tiền thu từ đi vay,3273952657455,VND
Tiền trả nợ gốc vay,-4733454726036,VND
Tiền chi trả cổ tức,-299584899805,VND
Lưu chuyển tiền thuần (sử dụng vào) từ hoạt động tài chính,-276816723009,VND
Lưu chuyển tiền thuần trong năm,958045871114,VND
Tiền và tương đương tiền đầu năm,1779630924503,VND
Tiền và tương đương tiền cuối năm,2737676795617,VND
