Chi_tieu,Gia_tri,Don_vi
Lợi nhuận kế toán trước thuế,3947390245604,VND
Thuế tính theo thuế suất của Công ty mẹ,789478049121,%
Ảnh hưởng của mức thuế suất khác áp dụng đối với các công ty con,-11380268223,%
Chi phí không được khấu trừ thuế,30726586096,VND
Thu nhập không bị tính thuế,-127061114460,VND
Biến động chênh lệch tạm thời được khấu trừ chưa được ghi nhận,10924597268,VND
Dự phòng thiếu trong những năm trước,20125292170,VND
Lỗ tính thuế được sử dụng mà trước đây chưa ghi nhận tài sản thuế thu nhập hoãn lại,-12119613322,VND
Ưu đãi thuế,-416141279,VND
Ảnh hưởng của việc thanh lý công ty liên kết và các điều chỉnh hợp nhất khác,169792914833,VND
