Chi_tieu,Gia_tri,Don_vi
"Kinh phí công đoàn, Bảo hiểm xã hội,Bảo hiểm y tế, Bảo hiểm thất nghiệp",2331971193,VND
"Nhận ký quỹ, ký cược ngắn hạn",63088580390,VND
"Cổ tức, lợi nhuận phải trả",17129685550,VND
Phải trả chi phí đến bù giải tỏa,7854195000,VND
Phải trả ngân sách Nhà nước,47783417263,VND
Giá trị công trình xây dựng đã xuất hóa đơn,52796069623,VND
"Các khoản phải trả, phải nộp khác",127351029932,VND
"Nhận ký quỹ, ký cược dài hạn",73370561124,VND
Phải trả nhà thầu Kumho - Dự án Thiện Tân giai đoạn 2,225344268369,VND
Phải trả Công ty Cổ phần Kinh doanh Khí hóa lông Miền Nam tiền hỗ trợ giải phóng mặt bằng,16530632897,VND
"Các khoản phải trả, phải nộp khác",29393148635,VND
