Chi_tieu,Gia_tri,Don_vi
1. Thu nhập lãi,50902749,Trieu VND
Thu nhập lãi từ khách hàng bên ngoài,50902749,Trieu VND
2. Thu nhập từ hoạt động dịch vụ,5464958,Trieu VND
3. Thu nhập từ hoạt động kinh doanh khác,3123767,Trieu VND
1. Chi phí lãi,-23108047,Trieu VND
Chi phí lãi khách hàng bên ngoài,-23108047,Trieu VND
2. Chi phí khấu hao tài sản cố định,-433368,Trieu VND
3. Chi phí liên quan trực tiếp đến hoạt độngkinh doanh,-13337903,Trieu VND
Kết quả kinh doanh trước chi phíđư phòng rủi ro,22612156,Trieu VND
Chi phí dự phòng rủi ro,-1606285,Trieu VND
Kết quả kinh doanh bộ phận,21005871,Trieu VND
