Chi_tieu,Gia_tri,Don_vi
Phải thu tiền đặt cọc (*),387964800000,VND
"Vốn góp của các hợp đồng hợp tác kinh doanh (""HĐHTKD"")",136646377826,VND
Phải thu cổ tức,114238992439,VND
Tạm ứng đầu tư,71980914000,VND
"Ký quỹ, ký cược",39528324823,VND
Tạm ứng nhân viên,8644669268,VND
TỔNG CỘNG,764448474716,VND
Dự phòng phải thu ngắn hạn khác(Thuyết minh số 9),-84159214223,VND
GIÁ TRỊ THUÀN,680289260493,VND
Phải thu bên liên quan (Thuyết minh số 29),225110891910,VND
Phải thu bên khác,539337582806,VND
"Ký quỹ, ký cược dài hạn",7203463000,VND
