Chi_tieu,Gia_tri,Don_vi
I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH Tổng lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản: Khấu hao tài sản cố định hữu hình và bất động sản đầu tư và hao mòn tài sản cố định vô hình Các khoản trích lập dự phòng Lãi chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ Lãi từ hoạt động đầu tư Chi phí lãi vay,376792254854,VND
I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH Tổng lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản: Khấu hao tài sản cố định hữu hình và bất động sản đầu tư và hao mòn tài sản cố định vô hình Các khoản trích lập dự phòng Lãi chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ Lãi từ hoạt động đầu tư Chi phí lãi vay,376792254854,VND
I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH Tổng lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản: Khấu hao tài sản cố định hữu hình và bất động sản đầu tư và hao mòn tài sản cố định vô hình Các khoản trích lập dự phòng Lãi chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ Lãi từ hoạt động đầu tư Chi phí lãi vay,376792254854,VND
I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH Tổng lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản: Khấu hao tài sản cố định hữu hình và bất động sản đầu tư và hao mòn tài sản cố định vô hình Các khoản trích lập dự phòng Lãi chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ Lãi từ hoạt động đầu tư Chi phí lãi vay,47099384670,VND
I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH Tổng lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản: Khấu hao tài sản cố định hữu hình và bất động sản đầu tư và hao mòn tài sản cố định vô hình Các khoản trích lập dự phòng Lãi chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ Lãi từ hoạt động đầu tư Chi phí lãi vay,16272687341,VND
I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH Tổng lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản: Khấu hao tài sản cố định hữu hình và bất động sản đầu tư và hao mòn tài sản cố định vô hình Các khoản trích lập dự phòng Lãi chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ Lãi từ hoạt động đầu tư Chi phí lãi vay,-3928560446,VND
I. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG KINH DOANH Tổng lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản: Khấu hao tài sản cố định hữu hình và bất động sản đầu tư và hao mòn tài sản cố định vô hình Các khoản trích lập dự phòng Lãi chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ Lãi từ hoạt động đầu tư Chi phí lãi vay,-453766101835,VND
(Lỗ)/lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,5587731214,VND
Tăng các khoản phải thu,-11942604202,VND
Giảm hàng tồn kho,-24486284488,VND
"Tăng/(giảm) các khoản phải trả (không kể lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",50250889329,VND
Giảm chi phí trả trước,12119902082,VND
Tiền lãi vay đã trả,863209378,VND
Thuế thu nhập doanh nghiệp đã nộp,-4118371979,VND
Tiền chi khác cho hoạt động kinh doanh,-25043247925,VND
Lưu chuyển tiền thuần (sử dụng vào)/từ hoạt động kinh doanh,-31767615396,VND
II. LƯU CHUYỀN TIỀN TỪ HOẠT ĐỘNG ĐẦU TỪ,-34124123201,VND
"Tiền chi để mua sắm, xây dựng tài sản cố định (TSCĐ) và các tài sản dài hạn khác",-22045612238,VND
"Tiền thu do thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",879420339,VND
"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",-455443429103,VND
"Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác",462691547277,VND
Tiền chi đầu tư góp vốn vào đơn vị khác,-12575291000,VND
Tiền thu hồi đầu tư góp vốn vào đơn vị khác,24205503600,VND
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",359982123836,VND
Lưu chuyển tiền thuần từ hoạt động đầu tư,357694262711,VND
Tiền thu từ đi vay,264750926181,VND
Tiền trả nợ gốc vay,-274062281279,VND
Cổ tức trả cho cổ đông,-325060603671,VND
Lưu chuyển tiền thuần sử dụng vào hoạt động tài chính,-334371958769,VND
Lưu chuyển tiền thuần trong năm,-10801819259,VND
Tiền và tương đương tiền đầu năm,173927158131,VND
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,-28209045,VND
Tiền và tương đương tiền cuối năm,163097129827,VND
