Chi_tieu,Gia_tri,Don_vi
Ngắn hạn,3776667179,Nghin VND
Phải thu các bên liên quan từ việc cán trừ công nợ,2221320699,Nghin VND
Phải thu lãi cho vay,1327842863,Nghin VND
Chi hộ,227099249,Nghin VND
Dài hạn,1888959326,Nghin VND
Phải thu lãi cho vay,1849847014,Nghin VND
Cho mượn hàng hóa,39112312,Nghin VND
TỔNG CỘNG,5665626505,Nghin VND
Dự phòng phải thu khác khó đòi (TM số 9),-123093,Nghin VND
GIÁ TRỊ THUẦN,5665503412,Nghin VND
Phải thu ngắn hạn khác các bên liên quan(TM số 27),3776262811,Nghin VND
Phải thu dài hạn khác các bên liên quan(TM số 27),1888959327,Nghin VND
Phải thu khác các bên thứ ba,281274,Nghin VND
