Chi_tieu,Gia_tri,Don_vi
Lợi nhuận thuần trước thuế,212584789685,
Các điều chỉnh tăng/(giảm) lợi nhuận theo kế toán,-1022330721,
Các khoản điều chỉnh tăng,668996341,
Các khoản chi phí không được trừ,668996341,
Các khoản điều chỉnh giảm,-1691327062,
Thu nhập từ hoạt động không thuộc diện nộp thuế TNDN,-540000000,
Thu nhập được ưu đãi thuế,-1151327062,
Lợi nhuận điều chỉnh trước thuế chưa trừ lỗ năm trước,211562458964,
Lỗ năm trước chuyển sang,-4848217939,
Thu nhập chịu thuế từ hoạt động khác,206714241025,
Thuế suất,20,%
Thuế TNDN phải trả ước tính năm hiện hành,41342848205,
