Chi_tieu,Gia_tri,Don_vi
Lợi nhuận trước thuế,1120354094623,VND
"Khẩu hao tài sản cố định, bắt động sản đầu tư và lợi thế thương mại phân bổ",632939301567,VND
Các khoản dự phòng,-1757789990,VND
Lỗ chênh lệch tỷ giá hồi đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ,21439299986,VND
Lãi từ hoạt động đầu tư,-777081913224,VND
Chỉ phí lãi vay và chi phí phát hành trái phiếu,716192111956,VND
Lợi nhuận từ hoạt động kinh doanh trước thay đối vốn lưu động,1712085104918,VND
Giảm các khoản phải thu,1084929139146,VND
Giảm/(tăng) hàng tồn kho,2404529954652,VND
"(Giảm)/tăng các khoản phải trả (Không kế lãi vay phải trả, thuế thu nhập doanh nghiệp phải nộp)",-2909427131133,VND
(Tăng)/giảm chi phí trả trước,-6895922702,VND
Giảm chứng khoán kinh doanh,221204546129,VND
Tiền lãi vay đã trả,-697465698559,VND
Thuế thu nhập doanh nghiệp đã nộp,-140060037612,VND
Tiền chi khác cho hoạt động kinh doanh,-20901274043,VND
Lưu chuyển tiền thuần từ hoạt động kinh doanh,1647998680796,VND
"Tiền chi mua sắm, xây dựng TSCĐ và các tài sản dài hạn khác",-303912410315,VND
"Tiền thu thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác",65080839009,VND
"Tiền chi cho vay, mua công cụ nợ của đơn vị khác",-422739180822,VND
"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",571865000000,VND
Tiền chi đầu tư góp vốn vào đơn vị khác,-139408800000,VND
Tiền thu hồi đầu tư vốn vào đơn vị khác,1239663600000,VND
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia",250562100485,VND
Lưu chuyển tiền thuần từ hoạt động đầu tư,1261111148357,VND
"Tiền thu từ phát hành cổ phiếu, nhận vốn góp của chủ sở hữu",108238299785,VND
Tiền thu từ đi vay,11784844065543,VND
Tiền trả nợ gốc vay,-14614658438665,VND
"Cổ tức, lợi nhuận đã trả cho chủ sở hữu",-887041637725,VND
Lưu chuyển tiền thuần từ hoạt động tài chính,-3608617711062,VND
Lưu chuyển tiền thuần trong năm (50=20+30+40),-699507881909,VND
Tiền và tương đương tiền đầu năm,1409760105856,VND
Ảnh hưởng của thay đổi tỷ giá hối đoái quy đổi ngoại tệ,-609896283,VND
Tiền và tương đương tiền cuối năm (70=50+60+61),709642327664,VND
