Chi_tieu,Gia_tri,Don_vi
- Công ty TNHH MTV Cao su Bình Long,5759983260,VND
- Công ty TNHH MTV Cao su Bình Thuận,2006073293,VND
- Công ty TNHH MTV Cao su Phú Riềng,8272910374,VND
- Công ty TNHH MTV Cao su Bà Rịa,3044627189,VND
- Công ty TNHH MTV Cao su Chư Pãh,2664100233,VND
- Công ty TNHH MTV Cao su Chư Prông,2075273567,VND
- Công ty TNHH MTV Cao su Chư Sê,1516741465,VND
- Công ty TNHH MTV Cao su Eah Leo,1605520429,VND
- Công ty TNHH MTV Cao su KonTum,4470614939,VND
- Công ty TNHH MTV Cao su Krông Buk,778078621,VND
- Công ty TNHH MTV Cao su Lộc Ninh,4268341946,VND
- Công ty TNHH MTV Cao su Mang Yang,1378038444,VND
- Công ty TNHH MTV Cao su Quảng Nam,779179797,VND
- Công ty TNHH MTV Cao su Quảng Trị,586557050,VND
- Công ty TNHH MTV Cao su Tân Biên,627010872,VND
- Công ty TNHH MTV Cao su Đầu Tiếng,8936526757,VND
- Công ty TNHH MTV - TCT Cao su Đồng Nai,8104331809,VND
