Chi_tieu,Gia_tri,Don_vi
"Tiền mặt, vàng bạc, đá quý",13745228,Trieu VND
Tiền gửi tại Ngân hàng Trung ương,111418448,Trieu VND
Tiền gửi tại và cho vay các TCTD khác,221177798,Trieu VND
Tiền gửi tại TCTD khác,203466918,Trieu VND
Cho vay các TCTD khác,17795874,Trieu VND
Dự phòng rủi ro tiền gửi tại và cho vay các TCTD khác,-84994,Trieu VND
Chứng khoán kinh doanh,1701464,Trieu VND
Chứng khoán kinh doanh,1748521,Trieu VND
Dự phòng rủi ro chứng khoán kinh doanh,-47057,Trieu VND
Các công cụ tài chính phải sinh và các tài sản tài chính khác,1038214,Trieu VND
Cho vay khách hàng,1483995823,Trieu VND
Cho vay khách hàng,1522221714,Trieu VND
Dự phòng rủi ro cho vay khách hàng,-38225891,Trieu VND
Chứng khoán đầu tư,235636449,Trieu VND
Chứng khoán đầu tư sẵn sàng để bán,162283083,Trieu VND
Chứng khoán đầu tư giữ đến ngày đáo hạn,73734542,Trieu VND
Dự phòng rủi ro chứng khoán đầu tư,-381176,Trieu VND
"Gớp vốn, đầu tư dài hạn",2978193,Trieu VND
Vốn góp liên doanh,2243217,Trieu VND
Đầu tư vào công ty liên kết,628324,Trieu VND
"Gớp vốn, đầu tư dài hạn khác",215076,Trieu VND
Dự phòng giảm giá đầu tư dài hạn,-108424,Trieu VND
Tài sản cố định,10534119,Trieu VND
Tài sản cố định hữu hình,6097956,Trieu VND
Nguyên giá tài sản cố định,14594234,Trieu VND
Hao mòn tài sản cố định,-8496278,Trieu VND
Tài sản cố định vô hình,4436163,Trieu VND
Nguyên giá tài sản cố định,6639598,Trieu VND
Hao mòn tài sản cố định,-2203435,Trieu VND
Tài sản Có khác,38383648,Trieu VND
Các khoản phải thu,22728033,Trieu VND
"Các khoản lãi, phí phải thu",13016124,Trieu VND
Tài sản thuế thu nhập doanh nghiệp hoãn lại,35542,Trieu VND
Tài sản Có khác,3212892,Trieu VND
Dự phòng rủi ro cho các tài sản Có nội bằng khác,-608943,Trieu VND
TỔNG TÀI SẢN,2120609384,Trieu VND
Các khoản nợ Chính phủ và Ngân hàng Trung ương,152752718,Trieu VND
Tiền gửi và vay các TCTD khác,177221298,Trieu VND
Tiền gửi của các TCTD khác,137045455,Trieu VND
Vay các TCTD khác,40175843,Trieu VND
Tiền gửi của khách hàng,1473598150,Trieu VND
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",13237626,Trieu VND
Phát hành giấy tờ có giá,157051601,Trieu VND
Các khoản nợ khác,42557996,Trieu VND
"Các khoản lãi, phí phải trả",26051633,Trieu VND
Thuế TNDN hoãn lại phải trả,97371,Trieu VND
Các khoản phải trả và công nợ khác,16408992,Trieu VND
TỔNG NỘ PHẢI TRẢ,2016419389,Trieu VND
Vốn của Ngân hàng,66204497,Trieu VND
Vốn điều lệ,50585239,Trieu VND
Thống dư vốn cổ phần,15351407,Trieu VND
Vốn khác,267851,Trieu VND
Quỹ của Ngân hàng,12447663,Trieu VND
Chênh lệch tỷ giá hối đoái,-760404,Trieu VND
Lợi nhuận chưa phân phối,21576100,Trieu VND
Lợi ích cổ đông không kiểm soát,4722139,Trieu VND
TỔNG VỐN CHỦ SỞ HỮU,104189995,Trieu VND
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,2120609384,Trieu VND
