Chi_tieu,Gia_tri,Don_vi
Ngày 01 tháng 01 năm 2023,362467973984,VND
Tăng trong năm,52682631795,VND
Mua mới,52682631795,VND
Giảm trong năm,-6071097453,VND
"Thanh lý, nhượng bán",-6071097453,VND
Ngày 31 tháng 12 năm 2023,409079508326,VND
Ngày 01 tháng 01 năm 2023,182028178856,VND
Tăng trong năm,58563365538,VND
Hao mòn trong năm,58563365538,VND
Giảm trong năm,-5914276103,VND
"Thanh lý, nhượng bán",-5914276103,VND
Ngày 31 tháng 12 năm 2023,234677268291,VND
Ngày 01 tháng 01 năm 2023,180439795128,VND
Ngày 31 tháng 12 năm 2023,174402240035,VND
