Chi_tieu,Gia_tri,Don_vi
"Các khoản phải trả cán bộ, công nhân viên",3030508,Trieu VND
Các khoản phải trả khác,718470,Trieu VND
Thuế phải trả (Thuyết minh 38),833841,Trieu VND
- Thuế thu nhập doanh nghiệp phải trả,598092,Trieu VND
- Thuế giá trị gia tăng phải trả,63025,Trieu VND
- Các thuế khác phải trả,172724,Trieu VND
Doanh thu nhận trước chờ phân bổ,5038432,Trieu VND
Phải trả xây dựng và mua sắm tài sản cố định,1491780,Trieu VND
Tiền giữ hộ chờ thanh toán,515295,Trieu VND
Các khoản khác phải trả khách hàng,924538,Trieu VND
Các khoản chờ thanh toán khác,147418,Trieu VND
Lãi hỗ trợ lãi suất thu hồi phải trả Nhà nước,64528,%
Vay Bộ Tài chính,806617,Trieu VND
Cổ tức phải trả (*),3329224,Trieu VND
Phải trả khác,3309571,Trieu VND
